platform,organisation,organisation_country,organisation_type
Queen Mary Research Online (QMRO),Queen Mary University of London,UK,University
QUT ePrints,Queensland University of Technology (QUT),Australia,University
RADAR (Oxford Brookes),Oxford Brookes University ,UK,University
Ravensbourne University Repository,Ravensbourne University London,UK,University
RaY - Research at York St John,York St John University,UK,University
RCA Research Online,Royal College of Art,UK,University
RCM Research Online,Royal College of Music,UK,University
Repository@Hull,University of Hull,UK,University
Repository@Napier,Edinburgh Napier University,UK,University
Repository@Nottingham,University of Nottingham,UK,University
Research Bank - ACU (Australian Catholic University),Australian Catholic University,Australia,
Research Data Leeds Repository,University of Leeds,UK,University
Research Scotland,Research Scotland Consortium,UK,National library
Roehampton Research Explorer,University of Roehampton,UK,University
Rose Bruford Repository,Rose Bruford College,UK,University
Rothamsted Repository,Rothamsted Research,UK,Research organisation
Royal Agricultural University Repository,Royal Agricultural University,UK,University
"Royal Botanic Gardens, Kew research repository","Royal Botanic Gardens, Kew",UK,Research organisation
Royal Holloway,"Royal Holloway, University of London",UK,University
Royal Holloway figshare,"Royal Holloway, University of London",UK,University
RVC Repository,"Royal Veterinary College, University of London",UK,University
RVC Research Online,"Royal Veterinary College, University of London",UK,University
Salford figshare,University of Salford,UK,University
SAS-Space,"Schoolof Advanced Study, University of London",UK,University
Sheffield figshare,University of Sheffield,UK,University
SHU Research Data Archive (SHURDA),Sheffield Hallam University,UK,University
SHURA (Sheffield Hallam University Research Archive),Sheffield Hallam University,UK,University
SOAS Research Online,"SOAS, University of London",UK,University
SORA (St George's Online Research Archive),"St George's, University of London",UK,University
Spiral: Imperial College Digital Repository,Imperial College London,UK,University
SRO: Sussex Research Online,University of Sussex,UK,University
SRUC Repository,Scotland's Rural College- SRUC,UK,University
SRUC Research Portal,Scotland's Rural College- SRUC,UK,University
St Andrews research portal,University of St Andrews,UK,University
St Andrews Research Repository,University of St Andrews,UK,University
St Mary's University Open Research Archive,"St Mary's University, Twickenham",UK,University
STAX: Strathclyde Theses and Exam Papers,University of Strathclyde,UK,University
STFC ePubs,Science and Technology Facilities Council (STFC),UK,Funder
STORE - Staffordshire Online Repository,Staffordshire University,UK,University
STORRE: Stirling Online Research Repository,University of Stirling,UK,University
Strathprints: The University of Strathclyde institutional repository,University of Strathclyde,UK,University
SUnderland REpository (SURE),University of Sunderland,UK,University
Surrey Research Insight Open Access,University of Surrey,UK,University
Sydney eScholarship Repository,University of Sydney,Australia,University
TeesRep - Teesside University's research portal,Teesside University,UK,University
The Institute of Cancer Research Publications Repository,The Institute of Cancer Research,UK,Research organisation
UAL Research Online,University of the Arts London,UK,University
UCA Research Online,University for the Creative Arts (UCA),UK,University
UCL Discovery,University College London,UK,University
UCL figshare,University College London,UK,University
UCLanData,University of Central Lancashire,UK,University
"UDORA, the University of Derby Online Research Archive",University of Derby,UK,University
UDSpace,University of Delaware,US,University
UEA Digital Repository,University of East Anglia,UK,University
UEL Research Repository,University of East London,UK,University
UK Data Service - ReShare,UK Data Service,UK,Research organisation
University College of Estate Management Repository,University College of Estate Management,UK,University
University College of Osteopathy Repository,University College of Osteopathy,UK,University
University of Aberdeen Research Portal,University of Aberdeen,UK,University
University of Bath Research Data Archive,University of Bath,UK,University
University of Bath's research portal,University of Bath,UK,University
University of Bedfordshire Repository,University of Bedfordshire,UK,University
University of Birmingham eTheses Repository,University of Birmingham,UK,University
University of Bolton Institutional Repository (UBIR),University of Bolton,UK,University
University of Brighton research repository,University of Brighton,UK,University
University of Chichester Eprints Repository,University of Chichester,UK,University
University of Cumbria - Insight,University of Cumbria,UK,University
University of Derby Repository,University of Derby,UK,University
University of Essex Research Repository,University of Essex,UK,University
University of Gloucestershire Research Repository,University of Gloucestershire,UK,University
University of Hertfordshire Research Archive (UHRA),University of Hertfordshire,UK,University
University of Huddersfield Repository,University of Huddersfield,UK,University
University of Leicester figshare repository,University of Leicester,UK,University
University of Liverpool Repository,University of Liverpool,UK,University
University of Northampton NECTAR,University of Northampton,UK,University
University of Northampton's Research Explorer,University of Northampton,UK,University
University of Plymouth PEARL,University of Plymouth,UK,University
University of Portsmouth Research Portal,University of Portsmouth,UK,University
University of Reading CentAUR,University of Reading,UK,University
University of Reading Research Data Archive,University of Reading,UK,University
University of Salford Institutional Repository (USIR),University of Salford,UK,University
University of Salford USIR,University of Salford,UK,University
University of South Wales Research Explorer,University of South Wales,UK,University
University of Southampton - ePrints Soton,University of Southampton,UK,University
University of Strathclyde's KnowledgeBase,University of Strathclyde,UK,University
University of Surrey Research Portal,University of Surrey,UK,University
University of Sussex figshare,University of Sussex,UK,University
University of the Highlands and Islands Research Portal,University of the Highlands and Islands,UK,University
University Of Wales Trinity Saint David Research Repository,University Of Wales Trinity Saint David,UK,University
UQ eSpace (University of Queensland),University of Queensland,Australia,University
UWE Bristol Research Repository,University of the West of England,UK,University
UWL Repository,University of West London,UK,University
UWS Academic Portal,University of the West of Scotland,UK,University
UWTSD Research Data,University Of Wales Trinity Saint David,UK,University
Vivli Data Repository,Vivli,US,Research organisation
VU Research Repository (Victoria University Melbourne) ,Victoria University,Australia,University
WestminsterResearch,University of Westminster,UK,University
White Rose Etheses Online,White Rose Consortium,UK,University consortium
White Rose Research Online,White Rose Consortium,UK,University consortium
WIRE (Wolverhampton Intellectual Repository and E-Theses),University of Wolverhampton,UK,University
Worcester Research and Publications,University of Worcester,UK,University
WRAP: Warwick Research Archive Portal,University of Warwick,UK,University
Writtle University College Repository,Writtle Unviersity College,UK,University
